name,resource-group,location,nics,availability-set,image,admin-username,size
vm-dev-prj1-koreacentral-002,dev-prj1-koreacentral,koreacentral,nic-dev-prj1-koreacentral-002,avail-dev-prj1-koreacentral-001,UbuntuLTS,questadmin,Standard_B1s
vm-dev-prj1-koreacentral-003,dev-prj1-koreacentral,koreacentral,nic-dev-prj1-koreacentral-003,avail-dev-prj1-koreacentral-001,UbuntuLTS,questadmin,Standard_B1s
vm-dev-prj1-koreacentral-005,dev-prj1-koreacentral,koreacentral,nic-dev-prj1-koreacentral-005,avail-dev-prj1-koreacentral-002,UbuntuLTS,questadmin,Standard_B1s
vm-dev-prj1-koreacentral-006,dev-prj1-koreacentral,koreacentral,nic-dev-prj1-koreacentral-006,avail-dev-prj1-koreacentral-002,UbuntuLTS,questadmin,Standard_B1s
,,,,,,,
,,,,,,,
,,,,,,,
