name,resource-group,subnet,vnet-name,public-ip-address
nic-dev-prj2-koreacentral-001,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-002,vnet-dev-prj2-koreacentral,pip-dev-prj2-koreacentral-002
nic-dev-prj2-koreacentral-002,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-003,vnet-dev-prj2-koreacentral,
nic-dev-prj2-koreacentral-003,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-003,vnet-dev-prj2-koreacentral,
nic-dev-prj2-koreacentral-004,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-003,vnet-dev-prj2-koreacentral,
nic-dev-prj2-koreacentral-005,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-004,vnet-dev-prj2-koreacentral,
nic-dev-prj2-koreacentral-006,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-004,vnet-dev-prj2-koreacentral,
nic-dev-prj2-koreacentral-007,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-004,vnet-dev-prj2-koreacentral,
nic-dev-prj2-koreacentral-008,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-005,vnet-dev-prj2-koreacentral,
nic-dev-prj2-koreacentral-009,dev-prj2-koreacentral,snet-dev-prj2-koreacentral-005,vnet-dev-prj2-koreacentral,
