name,resource-group,address-prefixes,vnet-name,network-security-group
snet-dev-prj2-koreacentral-001,dev-prj2-koreacentral,10.0.0.0/24,vnet-dev-prj2-koreacentral,
snet-dev-prj2-koreacentral-002,dev-prj2-koreacentral,10.0.1.0/24,vnet-dev-prj2-koreacentral,nsg-dev-prj2-koreacentral-001
snet-dev-prj2-koreacentral-003,dev-prj2-koreacentral,10.0.2.0/24,vnet-dev-prj2-koreacentral,nsg-dev-prj2-koreacentral-002
snet-dev-prj2-koreacentral-004,dev-prj2-koreacentral,10.0.3.0/24,vnet-dev-prj2-koreacentral,nsg-dev-prj2-koreacentral-003
snet-dev-prj2-koreacentral-005,dev-prj2-koreacentral,10.0.4.0/24,vnet-dev-prj2-koreacentral,nsg-dev-prj2-koreacentral-004
