name,resource-group,location
avail-dev-prj1-koreacentral-001,dev-prj1-koreacentral,koreacentral
avail-dev-prj1-koreacentral-002,dev-prj1-koreacentral,koreacentral
avail-dev-prj1-koreacentral-003,dev-prj1-koreacentral,koreacentral
avail-prod-prj1-koreacentral-001,prod-prj1-koreacentral,koreacentral
avail-prod-prj1-koreacentral-002,prod-prj1-koreacentral,koreacentral
avail-prod-prj1-koreacentral-003,prod-prj1-koreacentral,koreacentral
avail-test-prj1-koreacentral-001,test-prj1-koreacentral,koreacentral
avail-test-prj1-koreacentral-002,test-prj1-koreacentral,koreacentral
avail-test-prj1-koreacentral-003,test-prj1-koreacentral,koreacentral
