name,resource-group,lb-name,protocol,probe-name,frontend-port,backend-port,frontend-ip-name,backend-pool-name,disable-outbound-snat,idle-timeout,enable-tcp-reset
rule-lb-dev-prj2-koreacentral-001,dev-prj2-koreacentral,lb-dev-prj2-koreacentral-001,Tcp,prb-dev-prj2-koreacentral-001,80,80,frnt-lb-dev-prj2-koreacentral-001,back-lb-dev-prj2-koreacentral-001,FALSE,15,TRUE
rule-lb-dev-prj2-koreacentral-002,dev-prj2-koreacentral,lb-dev-prj2-koreacentral-002,Tcp,prb-dev-prj2-koreacentral-002,80,80,frnt-lb-dev-prj2-koreacentral-002,back-lb-dev-prj2-koreacentral-002,TRUE,15,TRUE
